customer_id,total_orders,total_spent_chf,avg_order_value_chf,avg_discount_pct,loyalty_years,pct_weekend_orders
2112,15,932.58,64.25,6.2,6.5,0.29
2113,4,1112.33,300.78,2.8,3.6,0.13
2114,16,332.68,19.48,0.0,4.2,0.28
2115,9,377.28,37.94,15.5,2.7,0.31
2116,15,966.0,65.66,9.7,4.9,0.22
2117,3,158.45,52.76,3.4,0.3,0.16
2118,4,1037.13,261.72,6.9,0.5,0.38
2119,12,549.75,44.05,24.9,2.5,0.64
2120,2,452.94,236.57,3.7,2.8,0.18
2121,11,649.78,58.56,6.3,3.5,0.36
2122,11,519.7,50.4,3.5,3.7,0.43
2123,18,376.83,22.23,17.3,3.8,0.41
2124,10,489.11,51.83,6.4,3.1,0.57
2125,1,50.19,48.54,7.4,0.8,0.33
2126,2,139.13,67.73,7.8,0.6,0.29
2127,3,731.0,255.45,1.2,2.0,0.32
2128,15,923.56,60.93,10.8,3.7,0.1
2129,2,103.33,56.43,2.7,1.0,0.46
2130,3,759.36,259.28,2.5,4.8,0.15
2131,4,1367.74,342.77,2.9,1.2,0.26
2132,9,502.8,55.26,11.0,1.6,0.7
2133,1,58.36,55.91,3.6,0.0,0.13
2134,3,734.46,247.27,8.6,3.7,0.3
2135,12,769.83,64.14,9.5,4.4,0.21
2136,11,345.83,30.93,24.9,0.0,0.34
2137,2,778.6,403.47,0.0,3.6,0.34
2138,9,582.63,64.9,5.7,3.4,0.25
2139,13,989.58,80.31,6.3,6.4,0.24
2140,12,365.92,32.27,16.7,1.2,0.45
2141,18,757.88,40.46,15.3,1.4,0.38
2142,2,126.26,63.01,5.0,0.5,0.27
2143,16,888.09,58.51,5.1,4.8,0.4
2144,9,321.75,34.78,17.1,2.3,0.51
2145,11,468.65,40.7,15.7,3.7,0.19
2146,3,160.25,52.73,4.0,1.2,0.18
2147,13,445.57,33.23,12.2,2.3,0.23
2148,13,359.07,27.88,21.9,1.0,0.47
2149,8,609.92,81.16,7.3,4.7,0.35
2150,3,1063.38,355.0,0.0,2.8,0.24
2151,5,1802.2,364.82,0.2,3.4,0.21
2152,3,234.02,71.31,3.4,0.0,0.32
2153,2,429.63,211.62,0.1,2.8,0.44
2154,13,587.73,46.45,9.5,3.8,0.26
2155,9,631.19,70.3,0.0,4.1,0.33
2156,1,44.98,45.29,3.7,0.6,0.35
2157,4,1036.39,255.11,0.0,3.2,0.46
2158,5,1476.46,276.71,2.7,3.2,0.16
2159,5,1897.34,359.09,2.1,3.1,0.28
2160,13,524.18,40.1,16.7,3.9,0.32
